'product_id','score','name','displayName','typePim','type','slug','price','industry','brand','productType','group','keySellingPoints','units','image','originalPrice','currentPrice','discountPercentage','endTimeDiscount','promotions','totalInventory','skus'
'"572096238106"','10.235594','Asus Vivobook 15 OLED A1505VA-MA492W i7-13700H','Asus Vivobook 15 OLED A1505VA-MA492W i7-13700H','Normal','Normal','may-tinh-xach-tay/asus-vivobook-15-oled-a1505va-ma492w-i7-13700h','21990000','','','','','','','','21990000','20290000','8','2025-03-25T23:59:00.000+07:00','','0',''
'"227312011542"','10.235594','MSI Gaming GF63 Thin 12UC-1006VN i5 12450H','MSI Gaming GF63 Thin 12UC-1006VN i5 12450H','Normal','Normal','may-tinh-xach-tay/msi-gaming-gf63-thin-12uc-1006vn-i5-12450h','18990000','','','','','','','','18990000','16990000','11','2025-03-25T23:59:00.000+07:00','','0',''
'"453007945134"','10.212282','Acer Aspire 5 A515-58M-56YX i5 13420H','Acer Aspire 5 A515-58M-56YX i5 13420H','Normal','Normal','may-tinh-xach-tay/acer-aspire-5-a515-58m-56yx-i5-13420h','17490000','','','','','','','','17490000','14990000','14','2025-03-25T23:59:00.000+07:00','','0',''
'"543668597676"','10.165911','Huawei MateBook D14 BE i3 1215U','Huawei MateBook D14 BE i3 1215U','Normal','Normal','may-tinh-xach-tay/huawei-ytfz-x-matebook-d14-be-i3-1215u','10290000','','','','','','','','10290000','9490000','8','2025-03-31T23:59:00.000+07:00','','0',''
'"215736415642"','10.141739','Asus TUF Gaming A15 FA506NF-HN005W R5-7535HS','Asus TUF Gaming A15 FA506NF-HN005W R5-7535HS','Normal','Normal','may-tinh-xach-tay/asus-tuf-gaming-a15-fa506nf-hn005w-r5-7535hs','19990000','','','','','','','','19990000','14990000','25','2025-03-25T23:59:00.000+07:00','','0',''
'"234763512150"','10.122653','HP Envy X360 14-fc01062TU Core Ultra 5-125U (AY8X1PA)','HP Envy X360 14-fc01062TU Core Ultra 5-125U (AY8X1PA)','Normal','Normal','may-tinh-xach-tay/hp-envy-x360-14-fc01062tu-core-ultra-5-125u-ay8x1pa','29890000','','','','','','','','29890000','28690000','4','2025-03-31T23:59:00.000+07:00','','0',''
'"334001138771"','10.071461','Asus Vivobook 15 OLED A1505VA-MA469W i9-13900H','Asus Vivobook 15 OLED A1505VA-MA469W i9-13900H','Normal','Normal','may-tinh-xach-tay/asus-vivobook-15-oled-a1505va-ma469w-i9-13900h','24990000','','','','','','','','24990000','22990000','8','2025-03-25T23:59:00.000+07:00','','0',''
'"202045110255"','10.065985','Macbook Air M3 13 2024 8CPU 10GPU/16GB/256GB','Macbook Air M3 13 2024 8CPU 10GPU/16GB/256GB','Normal','Normal','may-tinh-xach-tay/macbook-air-m3-13-2024-8cpu-10gpu-16gb-256gb','32990000','','','','','','','','32990000','28490000','14','2025-03-27T23:59:00.000+07:00','','0',''
'"817090417472"','9.954358','Asus TUF Gaming FA507NVR-LP091W R7-7435HS','Asus TUF Gaming FA507NVR-LP091W R7-7435HS','Normal','Normal','may-tinh-xach-tay/asus-tuf-gaming-fa507nvr-lp091w-r7-7435hs','29490000','','','','','','','','29490000','26490000','10','2025-03-25T23:59:00.000+07:00','','0',''
'"957169829290"','9.939934','Asus Zenbook 14 OLED UX3405MA-PP152W Core Ultra 7-155H','Asus Zenbook 14 OLED UX3405MA-PP152W Core Ultra 7-155H','Normal','Normal','may-tinh-xach-tay/asus-zenbook-14-oled-ux3405ma-pp152w-ultra-7-155h','34990000','','','','','','','','34990000','30990000','11','2025-03-25T23:59:00.000+07:00','','0',''
'"010068415541"','9.937445','Dell Vostro V3430_60YGM1','Dell Vostro V3430_60YGM1','Normal','Normal','may-tinh-xach-tay/dell-vostro-v3430-60ygm1-i5-1335u','21990000','','','','','','','','21990000','18490000','16','2025-03-25T23:59:00.000+07:00','','0',''
'"084122414684"','9.937445','MSI Gaming Cyborg 15 AI A1VE-053VN Ultra 7 155H','MSI Gaming Cyborg 15 AI A1VE-053VN Ultra 7 155H','Normal','Normal','may-tinh-xach-tay/msi-gaming-cyborg-15-ai-a1ve-053vn-ultra-7-155h','30990000','','','','','','','','30990000','28490000','8','2025-03-25T23:59:00.000+07:00','','0',''
'"859117912355"','9.937445','MacBook Air M2 13 2022 8CPU 10GPU 8GB 512GB','MacBook Air M2 13 2022 8CPU 10GPU 8GB 512GB','Normal','Normal','may-tinh-xach-tay/macbook-air-m2-13-2022-8cpu-10gpu-8gb-512gb','31990000','','','','','','','','31990000','25990000','19','2025-03-27T23:59:00.000+07:00','','0',''
'"556973412497"','9.901965','Lenovo Ideapad Slim 5 15IRU9 CORE 5_120U (83D00003VN)','Lenovo Ideapad Slim 5 15IRU9 CORE 5_120U (83D00003VN)','Normal','Normal','may-tinh-xach-tay/lenovo-ideapad-slim-5-15iru9-core-5-120u','22690000','','','','','','','','22690000','18790000','17','2025-03-25T23:59:00.000+07:00','','0',''
'"543667449699"','9.901965','Gigabyte Gaming G5 MF-F2VN313SH i5 12450H','Gigabyte Gaming G5 MF-F2VN313SH i5 12450H','Normal','Normal','may-tinh-xach-tay/gigabyte-gaming-g5-mf-f2vn313sh-i5-12450h','21990000','','','','','','','','21990000','19190000','13','2025-03-25T23:59:00.000+07:00','','0',''
'"767886433209"','9.900429','Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H (83DA001NVN)','Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H (83DA001NVN)','Normal','Normal','may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra-5-125h','22690000','','','','','','','','22690000','21790000','4','2025-03-25T23:59:00.000+07:00','','0',''
'"317880630994"','9.89303','Dell Vostro 15 V3530 i5 1335U','Dell Vostro 15 V3530 i5 1335U','Normal','Normal','may-tinh-xach-tay/dell-vostro-15-3530-i5-1335u','19990000','','','','','','','','19990000','18490000','8','2025-03-25T23:59:00.000+07:00','','0',''
'"106734414032"','9.888176','Lenovo IdeaPad Slim 5 14IMH9 Ultra 7 155H (83DA006UVN)','Lenovo IdeaPad Slim 5 14IMH9 Ultra 7 155H (83DA006UVN)','Normal','Normal','may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra-7-155h','25690000','','','','','','','','25690000','24990000','3','2025-03-31T23:59:00.000+07:00','','0',''
'"654783037184"','9.883686','Macbook Air M2 13 2022 8CPU 10GPU/16GB/512GB','Macbook Air M2 13 2022 8CPU 10GPU/16GB/512GB','Normal','Normal','may-tinh-xach-tay/macbook-air-m2-13-inch-2022-8cpu-10gpu-16gb-512gb','34990000','','','','','','','','34990000','28590000','18','2025-03-27T23:59:00.000+07:00','','0',''
'"075352030049"','9.883686','MacBook Pro 14 2023 M3 Pro 11 CPU/14GPU/36GB/512GB','MacBook Pro 14 2023 M3 Pro 11 CPU/14GPU/36GB/512GB','Normal','Normal','may-tinh-xach-tay/macbook-pro-14-2023-m3-pro-11-cpu-14-gpu-36gb-512gb','59990000','','','','','','','','59990000','59990000','0','null','','0',''
'"278366034905"','9.867381','Lenovo ThinkBook 16 G6 IRL i5-13420H (21KH00Q0VN)','Lenovo ThinkBook 16 G6 IRL i5-13420H (21KH00Q0VN)','Normal','Normal','may-tinh-xach-tay/lenovo-thinkbook-16-g6-irl-i5-13420h-21kh00q0vn','19990000','','','','','','','','19990000','17990000','10','2025-03-31T23:59:00.000+07:00','','0',''
'"434640927723"','9.865038','HP Envy x360 14-fc0090TU Core Ultra 7-155U(A19C0PA)','HP Envy x360 14-fc0090TU Core Ultra 7-155U(A19C0PA)','Normal','Normal','may-tinh-xach-tay/hp-envy-x360-14-fc0090tu-a19c0pa','33490000','','','','','','','','33490000','32190000','4','2025-03-31T23:59:00.000+07:00','','0',''
'"435315135642"','9.862923','Asus Vivobook S16 OLED S5606MA-MX051W U7-155H','Asus Vivobook S16 OLED S5606MA-MX051W U7-155H','Normal','Normal','may-tinh-xach-tay/asus-vivobook-s16-oled-s5606ma-mx051w-intel-core-ultra-7-155h','29990000','','','','','','','','29990000','26490000','12','2025-03-31T23:59:00.000+07:00','','0',''
'"754757715051"','9.830699','MSI Gaming Katana A15 AI B8VE-402VN R7 8845HS','MSI Gaming Katana A15 AI B8VE-402VN R7 8845HS','Normal','Normal','may-tinh-xach-tay/msi-gaming-katana-a15-ai-b8ve-402vn-r7-8845hs','28990000','','','','','','','','28990000','24990000','14','2025-03-25T23:59:00.000+07:00','','0',''
'"677109810406"','9.826604','Lenovo Yoga 9 2in1 14IMH9 Ultra 7 155H (83AC000SVN)','Lenovo Yoga 9 2in1 14IMH9 Ultra 7 155H (83AC000SVN)','Normal','Normal','may-tinh-xach-tay/lenovo-yoga-9-2in1-14imh9-ultra-7-155h','47990000','','','','','','','','47990000','47990000','0','null','','0',''
'"925916310407"','9.826604','Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000RVN)','Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000RVN)','Normal','Normal','may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-16gb','27990000','','','','','','','','27990000','24990000','11','2025-03-31T23:59:00.000+07:00','','0',''
'"543667464978"','9.826604','LG Gram 16Z90R-E.AH75A5 i7 1360P','LG Gram 16Z90R-E.AH75A5 i7 1360P','Normal','Normal','may-tinh-xach-tay/lg-gram-16z90r-eah75a5-i7-1360p','49990000','','','','','','','','49990000','29490000','41','2025-03-31T23:59:00.000+07:00','','0',''
'"642002438095"','9.821061','Lenovo Gaming Legion Slim 5 16AHP9 R7 8845HS (83DH003AVN)','Lenovo Gaming Legion Slim 5 16AHP9 R7 8845HS (83DH003AVN)','Normal','Normal','may-tinh-xach-tay/lenovo-gaming-legion-slim-5-16ahp9-r7-8845hs-83dh003avn','41990000','','','','','','','','41990000','38990000','7','2025-03-25T23:59:00.000+07:00','','0',''
'"812217626225"','9.806803','MacBook Pro 14 M4 Pro 2024 14CPU/20GPU/24GB/1TB','MacBook Pro 14 M4 Pro 2024 14CPU/20GPU/24GB/1TB','Normal','Normal','may-tinh-xach-tay/macbook-pro-m4-pro-14-2024-14cpu-20gpu-24gb-1tb','59990000','','','','','','','','59990000','59990000','0','null','','0',''
'"815119226710"','9.806803','MacBook Pro 16 M4 Max 2024 14CPU/32GPU/36GB/1TB','MacBook Pro 16 M4 Max 2024 14CPU/32GPU/36GB/1TB','Normal','Normal','may-tinh-xach-tay/macbook-pro-m4-max-16-2024-14cpu-32gpu-36gb-1tb','89990000','','','','','','','','89990000','89990000','0','null','','0',''
'"928823613048"','9.806803','MSI Gaming Stealth 14 AI Studio A1VFG-050VN Ultra 7 155H','MSI Gaming Stealth 14 AI Studio A1VFG-050VN Ultra 7 155H','Normal','Normal','may-tinh-xach-tay/msi-gaming-stealth-14-ai-studio-a1vfg-050vn-ultra-7-155h','49990000','','','','','','','','49990000','49490000','1','2025-03-31T23:59:00.000+07:00','','0',''
'"974941224415"','9.801196','Asus Vivobook S 14 OLED M5406WA-PP071WS Ryzen AI 9 HX 370','Asus Vivobook S 14 OLED M5406WA-PP071WS Ryzen AI 9 HX 370','Normal','Normal','may-tinh-xach-tay/asus-vivobook-s-14-oled-m5406wa-pp071ws','33990000','','','','','','','','33990000','30990000','9','2025-03-31T23:59:00.000+07:00','','0',''
'"859111305979"','9.801196','MacBook Air 13" 2020 M1 16GB/256GB','MacBook Air 13" 2020 M1 16GB/256GB','Normal','Normal','may-tinh-xach-tay/macbook-air-13-2020-m1-16gb-256gb','29990000','','','','','','','','29990000','21990000','27','2025-03-27T23:59:00.000+07:00','','0',''
'"059663525766"','9.795189','Macbook Air M3 15 2024 8CPU 10GPU/16GB/512GB','Macbook Air M3 15 2024 8CPU 10GPU/16GB/512GB','Normal','Normal','may-tinh-xach-tay/macbook-air-m3-15-2024-8cpu-10gpu-16gb-512gb','42990000','','','','','','','','42990000','34990000','19','2025-03-27T23:59:00.000+07:00','','0',''
'"311606430737"','9.759002','Asus Vivobook S5406MA-PP124W Ultra 5-125H','Asus Vivobook S5406MA-PP124W Ultra 5-125H','Normal','Normal','may-tinh-xach-tay/asus-vivobook-s5406ma-pp124w-ultra-5-125h','25990000','','','','','','','','25990000','22990000','12','2025-03-31T23:59:00.000+07:00','','0',''
'"861557159770"','9.759002','Gigabyte Gaming G5 KF-E3VN313SH i5 12500H','Gigabyte Gaming G5 KF-E3VN313SH i5 12500H','Normal','Normal','may-tinh-xach-tay/gigabyte-gaming-g5-kf-e3vn313sh-i5-12500h','24990000','','','','','','','','24990000','21490000','14','2025-03-25T23:59:00.000+07:00','','0',''
'"628192014548"','9.751176','Asus Zenbook S 14 OLED UX5406SA-PV140WS Core Ultra 7-258V','Asus Zenbook S 14 OLED UX5406SA-PV140WS Core Ultra 7-258V','Normal','Normal','may-tinh-xach-tay/asus-zenbook-s-14-oled-ux5406sa-pv140ws','44990000','','','','','','','','44990000','40990000','9','2025-03-31T23:59:00.000+07:00','','0',''
'"543667851798"','9.751176','VAIO FE14 i5 1235U (VWNC51427-BK)','VAIO FE14 i5 1235U (VWNC51427-BK)','Normal','Normal','may-tinh-xach-tay/vaio-fe14-i5-1235u-vwnc51427-bk','15990000','','','','','','','','15990000','11990000','25','2025-03-31T23:59:00.000+07:00','','0',''
'"066410412413"','9.735908','Dell Inspiron 16 N5640 i5 1334U_N6I5419W1','Dell Inspiron 16 N5640 i5 1334U_N6I5419W1','Normal','Normal','may-tinh-xach-tay/dell-inspiron-16-n5640-i5-1334u','23690000','','','','','','','','23690000','21990000','7','2025-03-31T23:59:00.000+07:00','','0',''
'"543668003843"','9.720331','MSI Modern 14 C12MO-660VN i5 1235U','MSI Modern 14 C12MO-660VN i5 1235U','Normal','Normal','may-tinh-xach-tay/msi-modern-14-c12mo-660vn-i5-1235u','15990000','','','','','','','','15990000','11990000','25','2025-03-25T23:59:00.000+07:00','','0',''
'"191114027357"','9.704441','HP Envy x360 14-fc0094TU Core Ultra 5-125U (A19C4PA)','HP Envy x360 14-fc0094TU Core Ultra 5-125U (A19C4PA)','Normal','Normal','may-tinh-xach-tay/hp-envy-x360-14-fc0094tu-a19c4pa','29490000','','','','','','','','29490000','28290000','4','2025-03-31T23:59:00.000+07:00','','0',''
'"543668597676"','9.68903','Huawei MateBook D14 BE i3 1215U','Huawei MateBook D14 BE i3 1215U','Normal','Normal','may-tinh-xach-tay/huawei-ytfz-x-matebook-d14-be-i3-1215u','10290000','','','','','','','','10290000','9490000','8','2025-03-31T23:59:00.000+07:00','','0',''
'"815803912057"','9.688229','Lenovo Gaming Legion 5 16IRX9 i7 14650HX (83DG0050VN)','Lenovo Gaming Legion 5 16IRX9 i7 14650HX (83DG0050VN)','Normal','Normal','may-tinh-xach-tay/lenovo-gaming-legion-5-16irx9-i7-14650hx-32gb','46990000','','','','','','','','46990000','43990000','6','2025-03-31T23:59:00.000+07:00','','0',''
